abaspa tuktun.	flor de haba.
Piruw llaqtapi qullqi rakinkunapa tupun.	Patrón de las fracciones monetarias del Perú.
Pichqa iskayralmi huk sulman haypan.	Cinco monedas de veinte centavos hacen un sol.
Wirumanta imapas llamkana ruwaq.	El que hace utensilios de metal.
Irirupatam apasaq kawalluyta irahin churamunanpaq.	Llevaré a mi caballo donde el herrero para que le ponga los herrajes.
Hukman qatiq yupana.	Número que sigue al uno.
Hukman hukta yapaptiykiqa iskaymi.	Uno más uno son dos.
Iskaychakuytam munachkanku, Wilipiwan Santusaqa.	Felipe y Santusa quieren formar pareja.
Huk sultam manukurqayki, iskaychaykullawayña, chayllam kutichipusqayki.	Me diste prestado un sol; añádeme la deuda a dos que pronto te pagaré.
Paqwayta iskayrayarquni mana rimasqaykita yachaspa.	Estuve completamente confundido porque no entendí lo que dijiste.
Iskay uya runakunaqa manam iñinachu.	No debe confiarse en los hipócritas.
Wawakunapaq yachay wasi.	Escuela para niños.
Iskwilata tukurquspaqa kulihyumanñam rinchik.	Una vez terminada la escuela uno va al colegio.
Achka ispañulkunatam riqsini.	Conozco a muchos españoles.
Imapas kay llaqtapi rikuriqmanta rimapaq simi.	Palabra para referirse a lo originario de este país.
Ispañul runakunaqa hukmanniqtam rimanku kastillanuta pirwanukunamantaqa.	Los españoles hablan el castellano un poco diferentemente a los peruanos.
Pusaqman qatiq yupana.	Número que sigue al ocho.
Chunkamanta hukta qichuptiykiqa isqunmi.	Diez menos uno es nueve.
Yuyaymanaspa, qillqakunata qawaspa, imaymanatapas llamkaspa, yachay tariy.	Lograr conocimientos mediante el pensamiento, la lectura y realizando diferentes tipos de trabajo.
Runasimitam istudyachkani, yacharquspa runasimi rimaqkunawan llamkanaypaq.	Estoy estudiando quechua para luego de aprenderlo, trabajar con los quechuahablantes.
Allpa ukumanta qurqusqa kachiqa hatun rumikuna hinam; chaytam sumaqllataña wakakuna llaqwan.	La sal extraída del subsuelo son como pedazos grandes de piedra, el ganado vacuno los lame con mucho gusto.
Kachi-kachi.	Libélula.
Kiruwan kiriy.	Herir con los dientes.
Qalluyta kachukurquni.	Me mordí la lengua.
Allqum kachurquwarqa warma kaptiy, chaymi kay sirakuna kan uyaypi.	Un perro me mordió cuando era niño por eso tengo en la cara estas cicatrices.
Mikuyta kiruwan ñutuy millpunapaq.	Desmenuzar con los dientes los alimentos para deglutirlos.
“Allinta kachunki mikunaykita,” nipayawan mamay.	“Mastica bien tu comida,” me repite mi madre.
Pawaq urukuna llañullaña wachinkuwan kiriy.	Picar, los insectos voladores.
Wanta llaqtapiqa, mikuy quqariy pacha, achkallañam puka uchuy chuspichakuna kachusunki yawarniyki suqunanpaq.	En Huanta, durante la época de la cosecha, muchos moscos pequeños y rojos te pican para chuparte la sangre.
Qarikunapa kakichun hawanpim sunka wiñan.	En la parte exterior de la mandíbula de los varones crece la barba.
Mana allin kaspa wirpunchikpi ancha rupay musyay.	Sentir calor excesivo en nuestro cuerpo al no sentirnos bien.
Chisi tutam rupapakurqa, kalinturarqa wawachallay, chaymi hampiqwa qawachimusaq.	Llevaré a mi niño al médico porque anoche tuvo fiebre.
Uma nanay.	Dolor de cabeza.
Llaqtakunapi ñankuna, waqtankunapi siqilla wasiyuq.	Camino de la ciudad que tiene casas a ambos costados.
Llaqtaypa kallinkunaqa waqtankunapi waytayuq, sachayuqmi.	Las calles de mi ciudad tienen flores y árboles a sus costados.
Unquywanmi kallpay chinkarqun.	Perdí mis fuerzas con la enfermedad.
Ñam kallpayuqña kanki, kananqa llamkanaykiñam.	Ya tienes fuerzas, por lo tanto ya tienes que trabajar.
Ima sasachakuypas atipaq kay.	Capacidad de vencer dificultades.
Sunqunchikpi kallpam aswan allin marqayninchikpi kallpamantaqa.	La fuerza del corazón es mejor que la fuerza de los brazos.
Ñuqaqa kallpantillantam mutitaqa mikuyta munani.	. A mí me gusta el mote no totalmente cocido.
Chakillawan utqayllamanña suchuy.	Desplazarse velozmente a pie.
Runakunaqa manam kawallukuna hina utqayllachu kallpanku.	Los seres humanos no corren tan velozmente como los caballos.
Pitapas rimapayay imapas ruwananpaqpuni, wakin kutiqa piñaririkusparaq.	Hablar a alguien, a veces con severidad, para que necesariamente, lleve a cabo algo.
Yachachiqniymi kamachiwarqa lliw yaku chaqruykuna, llamkay wasiman apanaypaq.	Mi profesor me ordenó que llevara todas las combinaciones líquidas al laboratorio.
Chaki sara, huk sara rikchaq mikunakuna ima, mana yakuyuqlla yanusqa.	Maíz y otros alimentos parecidos al maíz, cocinados sin agua.
Chay miski uqi sara kamchata apasun quqawninchikpaq.	Llevemos ese rico tostado de maíz plomo para nuestro almuerzo frío.
Hawas hamkata ruwakurqusun kachukunanchikpaq.	Hagamos tostado de habas para masticar.
Imatapas chaylla ruwarquymanta rimanapaq, utaq chaylla ruwasqa kasqanmanta rimanapaq simi.	Palabra para hablar acerca de hacer algo inmediatamente o de algo que acaba de ser hecho.
Kanallanmi kutirqamusaq, ama waqaychu.	Volveré pronto, no llores.
¿Imay uratataq chayamunqa taytayki?	¿A qué hora llegará tu padre?
Kanallanmi chayarqamunña.	Ya acaba de llegar en este momento.
(Yupana) + punchawña.	(Número) + días.
Chunka punchawña. Iskay punchawña.	Hace diez días. Hace dos días.
Kay pachallapipuni kaq.	Lo que está en el presente.
Kananqa paramunqam, ñuqaqa puyukuna qawaytam yachani.	Hoy va a llover, yo sé mirar las nubes.
Asniqllatam llamkaykusaq hinaspa kutirimusaq.	Trabajaré por un corto tiempo y volveré.
Kanallanchaylla aparqamusayki pukllanachaykita, ama waqaychu wawáy.	En este momento te traeré tu juguete, no llores mi niño.
¿Hayka unay?	¿Cuánto tiempo?
¿Hayka unaytaq kaypi qipanki?	¿Cuánto tiempo te vas a quedar aquí?
Mincha.	Pasado mañana.
Ñawpa-ñawpaqsi kay pachanchik kunununuq ninalla kasqa.	Se dice que en tiempos muy antiguos este nuestro planeta fue todo fuego tremendo.
Iskay simanamanta kutimusaq.	Volveré en dos semanas.
Iskaky wataña kaypi hatun quchukuy kasqanmanta.	Hace dos años hubo aquí una gran fiesta.
Qayna.	La vez pasada.
Akchi rikurichiy.	Producir luz.
Quyllurkuna kanchin sumaqllataña sapa tuta.	Las estrellas brillan fantásticamente cada noche.
Kiruwan animalkuna kiriy.	Atacar con los dientes los animales.
Huk purun misim hapiykuptiy, achpirquwan, kanirquwan ima.	Un gato salvaje me arañó y me mordió cuando le toqué.
Imapas wichqakuspa utaq wichispa nisyuta kiriy.	Herir fuertemente un objeto al cerrarse o caer encima.
Qunqayta wichqarqamuptinkum, punku makillayta kanirquwan.	Cuando inesperadamente cerraron la puerta, me cogió los dedos.
Ninallawan, mana yakuyuq yanusqa aycha.	Carne cocida solamente con fuego, sin agua.
Wallpa aychatam kankarqaniku wawaypa punchawninpaq.	Asamos carne de gallina para el cumpleaños de mi hijo.
Munaymanaspa imatapas ninawan tukuchiy.	Prender fuego a propósito a algo para destruirlo, incendiar.
Urqukunapi chaprakunata kañachkanku paramunanpaq (niylla).	Están quemando ramas en los cerros para que llueva (un decir).
Ninawan kiriy.	Herir con el fuego.
Wawallaymi kañarqun makinta.	Mi hija se quemó la mano.
Rumiqa ancha kapkam.	La piedra es muy dura.
Mana allin yanusqa.	Insuficientemente cocido.
Kapkallaraqmi papaqa kasqa, yanupaykuychik.	La papa está todavía dura, cocínenla más.
Manaraq puqusqa.	Todavía inmaduro.
Kapka lukmakunawanmi karnawalpi runakuna chamqanakunku.	En carnaval la gente se arroja con lucmas verdes.
Puquy pacha.	Tiempo de cosecha.
Asindapi yachaq runakunapa masin, asindayuq misti patrunpa akllasqan kamachikuq, patrunpa rantinpi llapa ima qawaq.	Persona de la misma clase de la gente que vive en la hacienda, jefe elegido por el patrón mestizo, vigilante de todas las cosas en nombre del patrón.
Kapuralkunaqa asindapi runakunatam llamkachinku patrun sumaq animalniyuq, sumaq kawsayniyuq kananpaq; piñallañam kanku.	Los caporales hacen trabajar a la gente de la hacienda para que el patrón tenga buenos animales y buenas sementeras; son muy severos.
Huk runam mana imanachkaptiy takarquwan hinaptin ñuqapas kutichini, “¡yaw karahu,! ¿imanasqam takawanki?” nispay.	Un hombre me apuñeteó sin motivo y yo le devolví el golpe, y le dije: “¿¡ oye carajo, por qué me golpeaste!?”
Manachus hinam kananpas paramunqachu, karahu.	Caramba, creo que ahora tampoco va a llover.
Supaypa wachasqan.	Hijo del Diablo.
Qipita animalpa wasanman churay, ima apanamanpas churay.	Poner una carga sobre las espaldas de un animal o cualquier vehículo.
Awyunman kargachkanku waknaña mikuyta, karu llaqtapi usyawan ñakariqkunamansi pawachinqaku.	Están cargando al avión mucho alimento, dicen que lo llevarán a los que están sufriendo la sequía.
Kullu sumaq llaqllaq, kulluwan imakunatapas ruwaq.	Aquél que trabaja bien con madera, aquel que hace objetos de madera.
Huk tiyanatam ruwachikuyta munachkani, ¿kay llaqtapi karpintiru kanchu?.	Quiero mandar hacer una silla, ¿hay un carpintero en este pueblo?.
Ñawi chinkaypi kaqmanta, sasa haypana kaqmanta rimanapaq simi.	Palabra empleada para hablar acerca de algo que está fuera del alcance de la vista, difícil de alcanzar.
Karu urqukunaman pusasaq animalniykunata michiq.	Llevaré a mis animales a cerros lejanos para pastorearlos.
Llaqtaymanta llaqtaykimanqa karum.	Tu pueblo es distante de mi pueblo.
Karutam pawanku pisqukunaqa.	Los pájaros vuelan largas distancias.
Muyuykunallapi.	a la vuelta.
Wak urqu muyuykunallapim wasiyqa kachkan.	Mi casa está cerca, solamente a la vuelta de ese cerro.
Runapa ruwasqan hatun tawa ruydayuq apana.	Vehículo grande de cuatro ruedas, hecho por el hombre.
Hatun llaqtakunapiqa, sisi hinañam karukuna muyunku.	En ciudades grandes los carros ruedan como hormigas.
Suni llañuniq kullu imapaqpas aptapaslla.	Madera larga poco delgada y fácil de manipularla.
Huk kaspita kallmaykusaq kay sachamanta, chaywan takyapakukspa purinaypaq.	Quebraré un palo de este árbol, para caminar apoyándome en él.
Puchka tullu.	Varilla de hilar.
Qapaq waminqa iskay kuti Piruw llaqta umanchaq (1845-1851. 1854-1862).	Nombre de un General que fue presidente del Perú de 1845 a 1851 y de 1854 a 1862.
Tukuchirqa Puruwpi millay runa kumuyta.	El abolió la esclavitud en el Perú.
Paymi paqarirqa 1797, wañukurqa 1867.	Vivió entre 1797 y fallecio en 1867.
Ramun Kastillaqa kumusqa runakunatam qispichirqa.	Ramón Castilla liberó a los esclavos.
Huk Ispaña llaqtapi rikuriq simi.	Un lenguaje originario de España.
¿Imaynatataq “runasimiqa ancha sumaqmi”ninkiman kastillanupi?	¿Cómo se diría “el quechua es bonito” en castellano?
Imapas kamachikuy ruway.	Llevar a cabo cualquier mandato.
Tayta-mamaytaqa kasukunipunim, imatapas allin kawsakunaypaqmi kamachiwan.	Obedezco sin dudas a mis padres, cualquier orden me dan para mi bienestar.
Ukunchik, utqaychalla hukmanta hukmanta kuyuy.	Moverse nuestro cuerpo rápidamente una y otra vez.
Tuta purichkaspa sacha-sacha ukupi huk llantuta qawarquni hinaspa katatatani chayllapi mana lluptiyta atispay.	Al caminar de noche miré una sombra en el bosque y empecé a temblar sin poder moverme del sitio.
Hawka kay.	Estar tranquilo.
Qasi kay.	Estar quieto.
Hatunnin kaq runa apaq, karga apaq uywa.	El más grande de los animales de carga.
Uchuy rurucha, hamkarquspa, kutarquspa, yaku timpuwan suturqachispa imawanpas chaqruykuspa yakun upyana.	Fruto pequeño cuyo zumo se bebe mezclado con otra cosa, luego de haber sido tostado, molido y goteado con agua caliente.
“Kawiyta upyaspaykiqa manam puñuyta atinkichu” ninkum.	Algunas personas dicen que no se puede dormir cuando se bebe café.
Kay rurupa yuran.	Planta de este fruto.
Payqa kawiytam tarpun yunkapi.	El cultiva café en la selva.
Imapas mikuypaq runapa tarpusqan.	Lo cultivado por el hombre para su sustento.
Sumaqllatañam kanan wataqa kawsaykuna wiñachkan.	Los sembríos están creciendo muy bien este año.
Mikunatam qarakuchkanña mamayqa.	Mi mamá ya está sirviendo la comida.
Mikuy chinkarisqanmantam kay huñunakuypi rimanqaku.	En esta reunión discutirán acerca de la escasez de alimentos.
Paqariymanta wañuy punchawkama imapas ruway.	Practicar actividades desde el nacimiento hasta la muerte.
Kusim kawsayniy qampa waqtaykipi kaspa.	Mi vida es feliz a tu lado.
Imam, imaynam imapas.	Qué, cómo es una entidad.
Ñuqaqa runasimi mayistrum kani.	Yo soy profesor de quechua.
Imapapas karquynin.	La existencia de algo.
Llaqtaypiqa sumaq papam kan.	Hay buenas papas en mi pueblo.
Pachak llamam kapuwan.	Tengo cien llamas.
Ama pachayta taqsankichu, hina kachun.	No laves mis ropas, que se queden así.
¿Manachu mikuyta munanki? Nispachaqa, hina kachun.	¿No quieres comer? Entonces, no me importa.
Kimsa kaq warma, asuykamuway.	Joven que está en tercer lugar, acérquese.
Rimaqpa waqtallanpi kaq.	Lo que está cerca al hablante.
Kay pisquqa sumaqtam waqan.	Este pájaro canta bonito.
¿Kaytachu munanki?	¿Quieres esto?
Kaypi yachani.	Vivo aquí.
Kayman hamuy.	Ven aquí.
Kaymanta qallarisaq.	Comenzaré de aquí.
Kaykama hamurqani qamrayku.	Vine por ti hasta aquí.
Kay-kaypi pukllakuy.	Juega por aquí.
Kay-kayman churaykuy.	Colócalo por aquí.
Kay-kaymantam asnamuchkan.	El olor proviene de por aquí.
Rimaqpa waqtallanpi kasqan.	El lugar que está junto al hablante.
Kaypiqa manam llaqtaypi hinachu rimanku.	Aquí la gente no habla como en mi país.
Runapa uywakusqan tawa chaki, qipaman siriq waqrayuq.	Cuadrúpedo doméstico, tiene cuernos inclinados hacia atrás.
Kawrapa lichinqa ancha sumanqmi runapaq.	La leche de la cabra es muy buena para el hombre.
Kallpayuq kay, musyakuq kay.	Tener energía, ser sensitivo.
Runakunaqa kawsanku tukuy hinasnimpim, anchata miraspanku, animalkunatapas wañuchinku, sachakunatapas kuchurparinku.	La gente vive en todas partes, aumenta en número y mata animales, tala árboles.
Ima kanchapapas punkun kuyurichiy, lluqsiy, yaykuy atinapaq.	Mover la puerta de cualquier recinto para salir o entrar en él.
Wasiypa punkuntam sumaqta kicharqani wayra yaykurimunampaq.	Abrí bien la puerta de mi casa para que entre aire fresco.
Simi kichachiy.	abra la boca.
Sumaqtam chay puyñutaqa kichanki, aqa hillpusqayki usuchkan.	Abre bien la jarra, la chicha que viertes se está derramando.
Imapas hukpa ukunpi hinasqa kaqta qurquy.	Sacar algo que está introducido en otra cosa.
Misa kahunta kichay, chaypim kachkan kichanakuna.	Abre el cajón de la mesa, allí están las llaves.
Imapas kirparirayasqa kaq pichay.	Limpiar algo que está obstruido.
Rinriy kichakurqun simiyta hatunmanta kicharquptiy.	Mis oídos se abrieron cuando abrí ampliamente la boca.
Ima qatapas kuyurichiy.	Mover cualquier cubierta.
Puñuysiki misiqa, yanqachallatam ñawinta kicharin qayaptiy.	Este gato dormilón apenas abre los ojos cuando le llamo.
Ladrillumanta ruwasqa pirqakunaqa aswan allin takyaqmi.	Las paredes hechas de ladrillos son más estables.
Yachakuq rispanchikqa manam qunqanachu lapisninchik apayta.	 Si se va a estudiar no se debe olvidar de llevar un lápiz.
Wak runaqa manach achka punchaw mikurqachu, chupita quykuptiy laptarqun samayninpas chinkasqa.	Probablamente ese hombre no habría comido por varios días, devoró, desesperadamente la sopa que le di.
“Huknin uyaykipi laqichusuptiykiqa hukninta munaykachiy,” ninkutaq. ¿Allinchu chay?.	Se dice: “Si te dan un sopapo en una mejilla muéstrale la otra.” ¿Es esto aceptable?.
Las distam kutimusaq.	Volveré a las diez.
Kay llaqtapiqa anchatam lastamun. 	Nieva mucho en este pueblo.
Latapachakunataqa churanam imallapas ruwanapaq.	Los pedacitos de tela se debe guardar para usarlos en alguna cosa.
Lawataqa yanukuniku sara akuwan utaq huk rikchaq akuwanpas, aychayuqta, papayuqta, imapas miski qurachayuqta. 	Cocinamos la lawa con harina de maíz o cualquier otro tipo de harina, con carne, papas y cualquier hierba aromática.
“Kay llaqtapiqa manam sinchichu llamkay kan” nispam wak runakunaqa liryachkanku kamachikuqkunawan.	Esas personas están discutiendo con las autoridades acerca de la falta de trabajo en el pueblo.
Liwiykuy chay waskata rumi hawanman, chakirqunanpaq. 	Tira la soga, sobre esa piedra, para que se seque.
Runasimi liwruyta qawachkani.	 Leo mi libro de quechua.
Lunispim watukamusqayki.	 Te visitaré el lunes.
Taytaypa waqra pukunqa sumaqtam luqluqyan.	El waqra puku de mi padre suena bien. 
Luwichukunaqa (luychukunaqa) ancha sumaqmi kanku.	Los venados son muy bonitos.
Huk runakuna, aswan qapaqyanankurayku, runa masinkuta llullakuspa ñakariyman qaqapaptinku anchata llakikuni.	Cuando unos hombres, en base al engaño, abisman a sus congéneres al sufrimiento para lograr mayor poderío, me entristezco mucho.
Qayna punchaw Marya llalliwarqanchik puñunamanta hatariypi.	Ayer María nos ganó en levantarse de la cama.
Chumpiqa llañullam, chukchañataq ancha llañuchalla.	Un cinturón es delgado y un cabello es muy delgado.
Llamapa aychanmanta charkita ruwanku.	 Hacen charqui de la carne de llama.
Llamkay, llamkay, wayna runa / Llamkaspallam hatunyasun.	Trabaja, trabaja, joven / Sólo con el trabajo progresaremos.
Llapanchikmi risunchik llaqta huñunakuyman.	Todos iremos a la reunión de la comunidad.
Lliwninkum kaypiqa warmi kasqaku.	Aquí, todas son mujeres.
Lima llaqtaqa llumpay hatunmi.	La ciudad de Lima es muy grande.
Ancha llasaqmi chikachachaq rumiqa.	Una enorme piedra es pesada.
Kay rumiqa anchatam llasan, manam pipas quqariyta atinchu.	Esta piedra pesa mucho, nadie la puede levantar. 
Wakin supay runakunaqa mana yachaqkunatam llullakuspa llatananku. 	Algunos hombres abusivos, engañándolos, despojan de sus pertenencias a la gente ingenua.
Chirimuptin utaq paramuptinqa llikllawanmi qatakuni.	Cuando hace frío o cuando llueve, yo me cubro con una manta.
Llikllita. 	Pequeño mantón. 
Llipyaqa punchawmantapas aswantaraqmi kanchin. 	 El relámpago brilla aún más que la luz del día.
Lliwmi risun llamkaq.	Todos iremos a trabajar.
Llapa imam wañuywan tukunqa.	Todo terminará con la muerte.
